StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q6,Q1,Q20,Q23,Q24_1,Q25,Q26,Q28_1,Q31,Q30,Q29_1,Q34,Q33,Q32_1,Q35,Q36,Q37_1,Q38,Q40,Q39_1,Q43,Q42,Q41_1,Q46,Q48,Q44_1,Q49,Q45,Q47_1,Q52,Q51,Q50_1,Q55,Q54,Q53_1,Q58,Q57,Q56_1,Q5,Q5_11_TEXT,Q7,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q10,Q10_8_TEXT,Q11,Q11_5_TEXT,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q14,Q14_7_TEXT,Q63,Q59,Q60,Q61,Q62,Q12_6_TEXT - Topics
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"IntroductionThank you for agreeing to take part in this survey, administered by a group of Gov 1010 undergraduate students. All results will be completely anonymous and the group will be deleting all data collected through this survey at the end of the semester when this project concludes. The survey will start by asking some demographic questions. By clicking ‘Continue’ below, you are consenting to take part in this survey.","Please think of any extracurricular activities in which you are involved. For each activity in which you are involved, pick the category below that best describes that activity. (Check all that apply)",How much time do you spend per week on extracurricular activities related to the SERVICE category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the SERVICE category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the SERVICE category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to SERVICE activities? - 1",How much time do you spend per week on extracurricular activities related to the SOCIAL category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the SOCIAL category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the SOCIAL category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to SOCIAL activities? - 1",How much time do you spend per week on extracurricular activities related to the PRE-PROFESSIONAL category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the PRE-PROFESSIONAL category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the PRE-PROFESSIONAL category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to PRE-PROFESSIONAL activities? - 1",How much time do you spend per week on extracurricular activities related to the ARTS & MUSIC category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the ARTS & MUSIC category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the ARTS & MUSIC category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to ARTS & MUSIC activities? - 1",How much time do you spend per week on extracurricular activities related to the POLITICS category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the POLITICS category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the POLITICS category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to POLITICAL activities? - 1",How much time do you spend per week on extracurricular activities related to the RESEARCH category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the RESEARCH category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the RESEARCH category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to RESEARCH activities? - 1","How much time do you spend per week on extracurricular activities related to the ON-CAMPUS JOB (House Grill, Lamont Library, etc.) category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the ON-CAMPUS JOB category relative to how much time you spend in class each week.","In how many extracurricular activities do you participate related to the ON-CAMPUS JOB (House Grill, Lamont Library, etc.) category?","On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to ON-CAMPUS JOB (House Grill, Lamont Library, etc.) activities? - 1",How much time do you spend per week on extracurricular activities related to the PAF category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the PAF category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the PAF category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to PAF'ing? - 1",How much time do you spend per week on extracurricular activities related to the TUTOR/CA/TF category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the TUTOR/CA/TF category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the TUTOR/CA/TF category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to being a TUTOR/CA/TF? - 1",How much time do you spend per week on extracurricular activities related to the VARSITY SPORTS TEAM category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the VARSITY SPORTS TEAM category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the VARSITY SPORTS TEAM category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to a VARSITY SPORTS TEAM? - 1",How much time do you spend per week on extracurricular activities related to the CLUB SPORTS TEAM category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the CLUB SPORTS TEAM category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the CLUB SPORTS TEAM category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to a CLUB SPORTS TEAM? - 1",How much time do you spend per week on extracurricular activities related to the IM SPORTS TEAM category (to the nearest hour)? It may be helpful to consider how much time you spend on activities related to the IM SPORTS TEAM category relative to how much time you spend in class each week.,In how many extracurricular activities do you participate related to the IM SPORTS TEAM category?,"On a scale of 1 to 10 with 1 being not very intense and 10 be extremely intense, what is the perceived intensity of your commitment to an IM SPORTS TEAM? - 1","“Which of the following platforms do you regularly use to stream movies, TV, or other multimedia.... - Selected Choice","“Which of the following platforms do you regularly use to stream movies, TV, or other multimedia.... - Other - Text","On average, how many hours per week do you estimate that you spend watching Netflix, movies, TV, or other videos on the Internet or other streaming services for entertainment? It may be useful to think of how many episodes of a given show you watch in a week and how long those shows are.","On average, how much time do you spend watching Netflix, movies, TV, or other videos on the Internet or other streaming services for entertainment relative to the time you spend in class per week?",Which of the following best describes how you engage in streaming services?,"To what extent do you agree with the following statements about why you stream movies, TV, or other video? - To unwind after finishing work","To what extent do you agree with the following statements about why you stream movies, TV, or other video? - To take a break from work","To what extent do you agree with the following statements about why you stream movies, TV, or other video? - As background noise for other activities, such as hosting friends or working","To what extent do you agree with the following statements about why you stream movies, TV, or other video? - To alleviate social discomfort","To what extent do you agree with the following statements about why you stream movies, TV, or other video? - As a social activity (e.g. movie night)","To what extent do you agree with the following statements about why you stream movies, TV, or other video? - To fall asleep",Ethnicity (please check all that apply): - Selected Choice,Ethnicity (please check all that apply): - Other (please specify) - Text,Gender Identity: - Selected Choice,Gender Identity: - Other: - Text,I graduate with the Class of: - Selected Choice,I graduate with the Class of: - Other: - Text,"This semester, I live in: - Selected Choice","This semester, I live in: - Open Response: - Text","This semester, I live in: - Selected Choice","This semester, I live in: - Other: - Text",Blocking group size:,"Declared or Prospective Concentration (non-conventional/joint concentrators choose the option second to the bottom, undecided students should select the undecided option at the bottom):","If you're a joint concentrator, what is your primary field?","If you're a joint concentrator, what is your secondary field?","If your concentration does not fit any of these choices, please describe your concentration using the open response option below.",Q12_6_TEXT - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID1""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID31""}","{""ImportId"":""QID30""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID34""}","{""ImportId"":""QID33""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID38""}","{""ImportId"":""QID40""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID42""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID46""}","{""ImportId"":""QID48""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID49""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID52""}","{""ImportId"":""QID51""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID55""}","{""ImportId"":""QID54""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID58""}","{""ImportId"":""QID57""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_11_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_8_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_5_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_6_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_6_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_7_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID13_6_TEXT_7b909baaa5c049a794af0ed4Topics""}"
2018-11-20 14:43:49,2018-11-20 14:45:43,IP Address,100,114,True,2018-11-20 14:45:44,R_3m1RaaZUwiqxKMj,email,EN,I consent to taking part in this survey.,"Social,Pre-Professional",,,,2,3,3,"1 ",3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,,Less than half the time spent in class,Sometimes by myself,Strongly Agree,Strongly Agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,"Caucasian ",,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Undecided,,,,
2018-11-20 14:44:17,2018-11-20 14:45:59,IP Address,100,101,True,2018-11-20 14:46:00,R_1davOw9PQQkqS6E,email,EN,I consent to taking part in this survey.,"Service,Arts & Music,Research,IM Sports",2,"1 ",6,,,,,,,"1 ",2,5,,,,3,2,7,,,,,,,,,,,,,,,,"1 ","1 ",1,,,2,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Caucasian ",,Male,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Mathematics,,,,
2018-11-20 14:44:19,2018-11-20 14:46:56,IP Address,100,156,True,2018-11-20 14:46:57,R_3hlPiSjnpXTRyCO,email,EN,I consent to taking part in this survey.,Varsity Sports Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,"1 ",8,,,,,,,"Hulu,Netflix",,2,Less than half the time spent in class,Usually by myself,Neutral,Somewhat agree,Somewhat disagree,Strongly disagree,Neutral,Strongly disagree,"Caucasian ",,Female,,2021,,,,"River West (Eliot, Kirkland, Winthrop)",,7,Psychology,,,,
2018-11-20 14:45:52,2018-11-20 14:48:22,IP Address,100,150,True,2018-11-20 14:48:23,R_t03j1NIzJdODSet,email,EN,I consent to taking part in this survey.,"Service,Arts & Music,Research",4,"1 ",6,,,,,,,2,"1 ",2,,,,2,"1 ",2,,,,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,5,Less than half the time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,"Caucasian ",,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Economics,,,,
2018-11-20 14:45:08,2018-11-20 14:49:41,IP Address,100,272,True,2018-11-20 14:49:41,R_2CcSnSv8k0KE0Rs,email,EN,I consent to taking part in this survey.,Club Sports Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"1 ",2,,,,"Netflix,YouTube or YouTube TV",,20+,Between the full time spent and class and double the time spent in class,About equally by myself and with others,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat disagree,Neutral,Strongly disagree,"Caucasian ",,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Mathematics,,,,
2018-11-20 14:45:30,2018-11-20 14:50:38,IP Address,100,308,True,2018-11-20 14:50:38,R_1NCTH2t2YlwXXRm,email,EN,I consent to taking part in this survey.,Arts & Music,,,,,,,,,,3,"1 ",3,,,,,,,,,,,,,,,,,,,,,,,,,"Hulu,Netflix,YouTube or YouTube TV",,11,About the same amount of time as the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,"Caucasian ,Hispanic/Latinx",,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Undecided,,,,
2018-11-20 14:43:58,2018-11-20 14:51:15,IP Address,100,436,True,2018-11-20 14:51:16,R_3qs43A7l4PtucPF,email,EN,I consent to taking part in this survey.,"Service,Arts & Music,Tutoring/CA/TF",4,"1 ",9,,,,,,,2,"1 ",2,,,,,,,,,,,,,7,2,6,,,,,,,,,,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,5,About the same amount of time as the time spent in class,About equally by myself and with others,Strongly Agree,Strongly Agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,"Asian,Caucasian ",,Female,,2019,,,,"River Central (Adams, Lowell, Quincy)",,4,Earth and Planetary Sciences,,,,
2018-11-20 14:49:18,2018-11-20 14:51:53,IP Address,100,155,True,2018-11-20 14:51:53,R_1FzAoK0VI3Ru25K,email,EN,I consent to taking part in this survey.,"Social,Pre-Professional,Research",,,,"1 ","1 ",2,3,2,4,,,,,,,12,"1 ",7,,,,,,,,,,,,,,,,,,,"Amazon Prime Video,YouTube or YouTube TV",,2,Less than half the time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Strongly disagree,Neutral,Somewhat disagree,Somewhat disagree,Asian,,Male,,2020,,,,"The Quad (Cabot, Currier, Pfoho)",,8,,,,,
